datetime,open,high,low,close,volume,open_interest
2017-01-17,3308.6,3326.0,3291.4,3315.4,10767,0
2017-01-18,3315.2,3358.2,3310.2,3345.0,9632,0
2017-01-19,3335.4,3350.2,3320.0,3326.0,7728,0
2017-01-20,3320.2,3356.6,3320.2,3353.0,9525,0
2017-01-23,3355.2,3379.2,3347.8,3352.0,7862,0
2017-01-24,3358.0,3364.4,3342.6,3353.4,6796,0
2017-01-25,3346.0,3370.0,3336.0,3369.2,6715,0
2017-01-26,3370.4,3394.8,3370.0,3377.6,6096,0
2017-02-03,3387.0,3387.6,3342.6,3357.0,6655,0
2017-02-06,3358.0,3368.6,3343.0,3354.0,7671,0
2017-02-07,3354.6,3360.6,3331.2,3349.0,7257,0
2017-02-08,3344.8,3373.8,3328.8,3369.4,8905,0
2017-02-09,3367.0,3400.8,3366.6,3380.6,8169,0
2017-02-10,3386.4,3410.2,3382.6,3402.0,8802,0
2017-02-13,3409.4,3426.2,3404.4,3419.0,8678,0
2017-02-14,3423.2,3424.6,3411.0,3419.4,7010,0
2017-02-15,3418.8,3437.8,3408.8,3410.2,7679,0
2017-02-16,3414.8,3433.6,3410.0,3432.4,5645,0
2017-02-17,3420.0,3439.6,3391.0,3392.4,11628,0
2017-02-20,3401.0,3464.4,3400.2,3462.6,16250,0
2017-02-21,3459.8,3475.8,3455.6,3459.2,15502,0
2017-02-22,3461.8,3469.6,3453.0,3467.0,13003,0
2017-02-23,3463.4,3468.8,3441.0,3453.6,14452,0
2017-02-24,3450.0,3455.8,3438.2,3453.0,12742,0
2017-02-27,3450.0,3453.2,3418.2,3426.6,13212,0
2017-02-28,3431.6,3445.6,3421.0,3429.4,13489,0
2017-03-01,3430.0,3461.6,3427.8,3435.2,15034,0
2017-03-02,3444.4,3449.8,3412.0,3418.0,14706,0
2017-03-03,3413.0,3415.0,3391.0,3405.0,14394,0
2017-03-06,3405.2,3431.0,3402.8,3422.0,14571,0
2017-03-07,3422.6,3432.6,3417.4,3432.6,11863,0
2017-03-08,3430.0,3436.4,3421.4,3430.4,11551,0
2017-03-09,3424.6,3425.6,3389.2,3403.8,15795,0
2017-03-10,3403.0,3416.8,3402.0,3406.6,12514,0
2017-03-13,3407.4,3454.0,3395.6,3452.8,16304,0
2017-03-14,3452.6,3454.8,3440.6,3446.0,11545,0
2017-03-15,3440.0,3458.6,3438.2,3451.4,13454,0
2017-03-16,3477.0,3495.4,3470.0,3481.4,11259,0
2017-03-17,3461.0,3467.0,3396.2,3407.2,16559,0
2017-03-20,3423.2,3426.6,3405.8,3417.6,13051,0
2017-03-21,3415.6,3435.6,3409.0,3435.0,14060,0
2017-03-22,3415.0,3433.6,3399.0,3421.4,15137,0
2017-03-23,3425.8,3450.0,3409.0,3433.8,17346,0
2017-03-24,3438.4,3494.4,3438.0,3483.4,17054,0
2017-03-27,3479.2,3489.6,3460.4,3461.0,14595,0
2017-03-28,3472.0,3472.8,3450.0,3458.0,13020,0
2017-03-29,3463.2,3471.8,3439.6,3456.6,15005,0
2017-03-30,3451.2,3461.8,3422.2,3431.6,18073,0
2017-03-31,3431.0,3452.8,3429.2,3450.4,13610,0
2017-04-05,3485.0,3511.2,3471.8,3507.2,16966,0
2017-04-06,3508.0,3509.0,3487.0,3504.0,13606,0
2017-04-07,3501.8,3520.8,3494.2,3510.6,13559,0
2017-04-10,3513.0,3513.8,3500.8,3501.6,10484,0
2017-04-11,3550.0,3550.0,3460.2,3505.0,16548,0
2017-04-12,3502.0,3512.4,3486.2,3496.0,14280,0
2017-04-13,3495.6,3519.0,3491.4,3508.6,12549,0
2017-04-14,3507.6,3511.8,3472.8,3477.0,14666,0
2017-04-17,3471.0,3479.6,3455.2,3472.4,15781,0
2017-04-18,3470.2,3485.8,3461.4,3462.6,13572,0
2017-04-19,3459.2,3461.4,3426.0,3440.0,15082,0
2017-04-20,3440.0,3463.8,3439.4,3458.6,10235,0
2017-04-21,3445.0,3456.0,3432.4,3441.2,14686,0
2017-04-24,3439.0,3441.8,3398.2,3408.2,16700,0
2017-04-25,3413.0,3434.0,3412.4,3422.6,13559,0
2017-04-26,3427.2,3448.8,3425.4,3427.8,14130,0
2017-04-27,3421.6,3435.2,3391.0,3426.8,16466,0
2017-04-28,3426.0,3430.8,3404.2,3420.4,12840,0
2017-05-02,3413.8,3422.0,3404.0,3407.4,10671,0
2017-05-03,3410.0,3419.6,3390.4,3396.8,12320,0
2017-05-04,3391.2,3412.8,3382.0,3383.4,13859,0
2017-05-05,3379.8,3384.8,3351.2,3360.4,14100,0
2017-05-08,3361.0,3368.0,3331.2,3339.4,14202,0
2017-05-09,3335.0,3351.8,3326.0,3342.2,14041,0
2017-05-10,3346.8,3354.6,3323.2,3323.8,13822,0
2017-05-11,3320.0,3352.6,3310.0,3341.4,15477,0
2017-05-12,3341.6,3370.6,3338.4,3367.2,14561,0
2017-05-15,3376.6,3399.0,3376.6,3386.6,12135,0
2017-05-16,3383.0,3431.2,3370.0,3431.0,14494,0
2017-05-17,3425.2,3431.2,3409.2,3411.0,10711,0
2017-05-18,3394.8,3412.4,3388.0,3392.4,8347,0
2017-05-19,3381.2,3388.4,3373.6,3381.8,12395,0
2017-05-22,3380.0,3405.6,3371.2,3382.2,15003,0
2017-05-23,3384.2,3421.6,3379.2,3402.0,17974,0
2017-05-24,3399.2,3407.6,3374.0,3402.0,16750,0
2017-05-25,3402.4,3493.6,3400.6,3486.0,19227,0
2017-05-26,3485.8,3500.0,3470.2,3480.6,13469,0
2017-05-31,3505.4,3516.8,3466.2,3482.0,14231,0
2017-06-01,3479.4,3495.0,3474.2,3489.0,12816,0
2017-06-02,3486.0,3494.8,3461.0,3480.8,13699,0
2017-06-05,3482.0,3488.6,3456.0,3456.6,12122,0
2017-06-06,3460.0,3485.6,3456.2,3484.6,12558,0
2017-06-07,3484.4,3536.0,3481.6,3533.0,15078,0
2017-06-08,3531.0,3566.2,3526.2,3559.8,13699,0
2017-06-09,3563.0,3589.6,3558.4,3578.6,13058,0
2017-06-12,3570.8,3598.0,3562.0,3568.0,13594,0
2017-06-13,3565.0,3588.0,3554.6,3576.2,13392,0
2017-06-14,3570.0,3573.0,3528.8,3532.0,12903,0
2017-06-15,3530.0,3550.8,3512.4,3524.0,11443,0
2017-06-16,3508.8,3518.8,3483.2,3488.0,12379,0
2017-06-19,3499.8,3538.0,3494.6,3530.0,14329,0
2017-06-20,3535.0,3545.6,3513.4,3521.0,12735,0
2017-06-21,3540.4,3558.4,3512.2,3558.4,15813,0
2017-06-22,3556.2,3606.0,3552.0,3560.8,17959,0
2017-06-23,3564.0,3600.8,3542.6,3597.4,17224,0
2017-06-26,3599.8,3650.0,3599.8,3647.2,15596,0
2017-06-27,3645.2,3656.0,3627.4,3650.4,13273,0
2017-06-28,3644.8,3648.4,3620.0,3627.0,13648,0
2017-06-29,3638.2,3651.4,3627.2,3649.0,13717,0
2017-06-30,3632.0,3655.4,3629.0,3642.6,12822,0
2017-07-03,3647.0,3648.4,3612.0,3625.8,13307,0
2017-07-04,3627.0,3627.2,3584.4,3587.0,13850,0
2017-07-05,3592.2,3646.8,3590.8,3640.8,14242,0
2017-07-06,3636.4,3645.4,3605.2,3633.2,14582,0
2017-07-07,3627.2,3635.8,3613.2,3627.2,12237,0
2017-07-10,3622.0,3649.6,3621.2,3634.0,12756,0
2017-07-11,3631.8,3693.0,3631.0,3661.8,16206,0
2017-07-12,3669.2,3678.2,3620.6,3638.8,16139,0
2017-07-13,3648.6,3683.0,3642.6,3679.2,14609,0
2017-07-14,3676.0,3700.0,3663.6,3698.8,12753,0
2017-07-17,3700.0,3709.6,3630.2,3649.8,16587,0
2017-07-18,3650.8,3665.2,3622.2,3650.0,14786,0
2017-07-19,3643.6,3733.2,3643.6,3729.4,14792,0
2017-07-20,3728.8,3747.8,3723.2,3747.2,10047,0
2017-07-21,3744.8,3748.8,3734.0,3738.0,4843,0
2017-07-24,3717.8,3747.0,3708.0,3733.0,12829,0
2017-07-25,3731.4,3736.8,3697.8,3704.8,12790,0
2017-07-26,3714.4,3720.4,3669.4,3684.0,14047,0
2017-07-27,3687.6,3704.6,3658.0,3690.6,13168,0
2017-07-28,3687.0,3712.0,3684.0,3708.4,11619,0
2017-07-31,3712.2,3735.0,3696.6,3722.2,11347,0
2017-08-01,3726.6,3752.0,3724.2,3748.8,11942,0
2017-08-02,3748.0,3771.0,3744.6,3753.4,12223,0
2017-08-03,3752.0,3758.0,3712.2,3715.8,13094,0
2017-08-04,3719.6,3733.6,3691.0,3692.0,12544,0
2017-08-07,3697.6,3725.4,3683.4,3715.0,12410,0
2017-08-08,3717.2,3726.8,3705.4,3717.4,10628,0
2017-08-09,3717.8,3728.8,3701.4,3715.0,10907,0
2017-08-10,3713.8,3737.6,3661.2,3701.0,14998,0
2017-08-11,3675.0,3691.4,3626.0,3627.8,14449,0
2017-08-14,3640.0,3690.6,3637.0,3681.4,12031,0
2017-08-15,3684.0,3707.4,3681.0,3694.4,10890,0
2017-08-16,3689.0,3698.0,3669.4,3689.6,10107,0
2017-08-17,3701.8,3723.4,3694.2,3719.0,8852,0
2017-08-18,3694.0,3712.8,3681.4,3705.0,13425,0
2017-08-21,3717.0,3736.4,3708.6,3721.2,10686,0
2017-08-22,3725.2,3734.2,3711.2,3732.6,10315,0
2017-08-23,3733.0,3758.8,3722.6,3741.6,12218,0
2017-08-24,3740.2,3750.2,3716.2,3724.0,11388,0
2017-08-25,3725.0,3803.0,3723.6,3794.8,15940,0
2017-08-28,3804.6,3876.6,3804.6,3843.8,15144,0
2017-08-29,3844.0,3852.8,3831.2,3837.8,10903,0
2017-08-30,3843.6,3859.8,3832.0,3834.2,10658,0
2017-08-31,3839.0,3844.8,3810.4,3829.6,12382,0
2017-09-01,3835.2,3853.0,3824.0,3837.8,12566,0
2017-09-04,3833.0,3848.8,3816.0,3842.6,11506,0
2017-09-05,3847.2,3867.0,3841.2,3854.2,11445,0
2017-09-06,3847.0,3862.4,3831.0,3846.6,12015,0
2017-09-07,3853.0,3865.0,3828.0,3828.2,11916,0
2017-09-08,3835.6,3847.0,3808.0,3820.8,12189,0
2017-09-11,3833.0,3858.8,3819.4,3831.4,13764,0
2017-09-12,3840.4,3857.0,3825.4,3844.2,13593,0
2017-09-13,3846.0,3852.0,3828.4,3844.2,11716,0
2017-09-14,3847.2,3858.0,3822.2,3830.4,10692,0
2017-09-15,3827.8,3845.8,3821.2,3834.2,6174,0
2017-09-18,3829.8,3871.8,3829.0,3854.8,13320,0
2017-09-19,3858.2,3863.6,3812.6,3823.8,14108,0
2017-09-20,3827.8,3853.4,3822.0,3845.4,12350,0
2017-09-21,3844.0,3856.8,3832.6,3837.2,12254,0
2017-09-22,3827.4,3838.0,3812.0,3829.4,12829,0
2017-09-25,3827.0,3829.4,3800.8,3801.4,11890,0
2017-09-26,3802.6,3819.8,3802.2,3813.8,10149,0
2017-09-27,3816.0,3835.0,3814.8,3819.8,10250,0
2017-09-28,3818.0,3831.8,3810.6,3831.0,9640,0
2017-09-29,3835.4,3863.8,3833.6,3849.2,10796,0
2017-10-10,3890.8,3906.0,3868.8,3893.0,12489,0
2017-10-11,3902.2,3910.0,3890.8,3902.2,10909,0
2017-10-12,3902.2,3921.8,3897.4,3916.0,10739,0
2017-10-13,3912.0,3934.8,3912.0,3933.0,9341,0
2017-10-16,3940.0,3944.0,3915.2,3918.0,11470,0
2017-10-17,3914.0,3927.6,3909.2,3911.0,10887,0
2017-10-18,3919.2,3934.0,3916.2,3930.8,11200,0
2017-10-19,3930.2,3938.0,3920.2,3922.6,8578,0
2017-10-20,3913.0,3921.8,3907.4,3911.8,10493,0
2017-10-23,3919.0,3923.6,3905.2,3922.0,8414,0
2017-10-24,3916.2,3947.0,3915.2,3945.6,10030,0
2017-10-25,3947.0,3970.0,3941.2,3967.0,10446,0
2017-10-26,3969.2,4008.8,3960.6,3993.8,12544,0
2017-10-27,3996.2,4021.8,3990.2,4021.8,11029,0
2017-10-30,4027.0,4034.6,3956.8,3981.6,15110,0
2017-10-31,3979.2,3997.0,3973.4,3993.8,10465,0
2017-11-01,3998.0,4023.0,3978.4,3981.6,12790,0
2017-11-02,3983.0,3988.0,3965.4,3987.4,11379,0
2017-11-03,3985.4,3996.0,3943.0,3963.4,13262,0
2017-11-06,3969.0,4012.0,3961.0,4008.4,11813,0
2017-11-07,4008.4,4052.2,4006.2,4049.0,12556,0
2017-11-08,4043.4,4088.6,4041.0,4046.6,14025,0
2017-11-09,4041.6,4081.8,4041.6,4080.2,10645,0
2017-11-10,4076.2,4120.8,4064.4,4115.6,11989,0
2017-11-13,4123.2,4141.8,4118.4,4127.4,10383,0
2017-11-14,4126.2,4131.6,4096.4,4101.0,11904,0
2017-11-15,4093.0,4105.8,4066.0,4073.4,11726,0
2017-11-16,4071.6,4112.4,4070.8,4106.2,9306,0
2017-11-17,4109.0,4120.4,4086.2,4118.2,14623,0
2017-11-20,4111.4,4147.6,4074.4,4146.0,15770,0
2017-11-21,4142.0,4234.8,4137.6,4232.4,17193,0
2017-11-22,4249.8,4271.0,4200.0,4235.6,16812,0
2017-11-23,4232.6,4233.0,4081.0,4099.0,19574,0
2017-11-24,4119.0,4127.6,4067.2,4099.2,18254,0
2017-11-27,4095.4,4096.0,4020.0,4022.0,18258,0
2017-11-28,4021.6,4054.8,4015.0,4041.2,16020,0
2017-11-29,4053.0,4058.0,3981.0,4035.8,18724,0
2017-11-30,4029.2,4045.2,3969.4,3982.0,17217,0
2017-12-01,3990.0,4022.8,3973.8,3978.8,16075,0
2017-12-04,3975.0,4022.0,3968.4,3999.0,15109,0
2017-12-05,3991.6,4031.8,3990.2,4017.2,15104,0
2017-12-06,4012.0,4016.8,3946.0,3988.0,17224,0
2017-12-07,3985.0,4009.8,3939.0,3948.6,16130,0
2017-12-08,3956.0,4008.8,3951.0,3998.0,15727,0
2017-12-11,4008.0,4068.0,4001.6,4067.4,16388,0
2017-12-12,4065.4,4072.0,4008.0,4010.2,14903,0
2017-12-13,4015.0,4056.2,4009.0,4046.6,14235,0
2017-12-14,4050.0,4061.6,4015.2,4030.0,10951,0
2017-12-15,4019.6,4022.4,3965.0,3977.0,16911,0
2017-12-18,3986.2,4015.8,3972.0,3984.8,14821,0
2017-12-19,3998.8,4046.0,3990.2,4044.0,14708,0
2017-12-20,4044.0,4049.8,4020.0,4029.0,13760,0
2017-12-21,4024.0,4102.8,4018.0,4082.0,18722,0
2017-12-22,4083.0,4092.6,4061.8,4069.2,11846,0
2017-12-25,4073.2,4102.8,4036.2,4049.2,14448,0
2017-12-26,4052.4,4079.2,4032.8,4068.8,15143,0
2017-12-27,4066.8,4070.6,3987.4,3991.4,16135,0
2017-12-28,4005.6,4047.4,3990.8,4030.0,14808,0
2017-12-29,4035.0,4053.2,4023.6,4039.8,12676,0
2018-01-02,4051.6,4105.0,4051.6,4104.0,14290,0
2018-01-03,4107.8,4153.8,4097.2,4121.6,16132,0
2018-01-04,4122.0,4146.6,4115.8,4135.8,13158,0
2018-01-05,4138.4,4157.8,4125.2,4148.2,12629,0
2018-01-08,4148.0,4173.0,4135.2,4163.8,13194,0
2018-01-09,4162.2,4200.0,4157.0,4197.4,13392,0
2018-01-10,4196.8,4215.0,4180.2,4212.2,14317,0
2018-01-11,4206.0,4214.2,4190.0,4208.4,12802,0
2018-01-12,4209.0,4232.0,4201.0,4229.0,13165,0
2018-01-15,4233.0,4266.0,4217.0,4223.4,16457,0
2018-01-16,4220.0,4269.2,4219.2,4269.2,15653,0
2018-01-17,4273.2,4284.0,4240.0,4250.6,17051,0
2018-01-18,4268.8,4294.0,4257.2,4280.0,11591,0
2018-01-19,4283.0,4351.6,4280.6,4290.8,5468,0
2018-01-22,4297.6,4355.0,4293.2,4354.8,14150,0
2018-01-23,4362.0,4402.0,4359.6,4400.0,14938,0
2018-01-24,4405.0,4414.0,4369.0,4404.6,15271,0
2018-01-25,4401.8,4402.8,4358.2,4373.0,15135,0
2018-01-26,4373.0,4426.0,4370.0,4397.8,14657,0
2018-01-29,4412.8,4418.6,4300.0,4315.2,17973,0
2018-01-30,4313.2,4324.0,4266.2,4267.6,14737,0
2018-01-31,4254.6,4296.0,4246.2,4280.0,16237,0
2018-02-01,4285.0,4301.0,4218.8,4239.4,18908,0
2018-02-02,4228.2,4282.8,4192.0,4270.4,18113,0
2018-02-05,4220.0,4268.8,4215.0,4264.0,15924,0
2018-02-06,4203.0,4216.6,4113.0,4119.8,18860,0
2018-02-07,4183.8,4206.8,4019.2,4023.0,21554,0
2018-02-08,4018.8,4073.0,3971.6,3996.8,18338,0
2018-02-09,3929.0,3932.0,3715.0,3781.2,21304,0
2018-02-12,3818.6,3895.8,3808.4,3865.6,15159,0
2018-02-13,3907.6,3976.0,3903.8,3920.6,11992,0
2018-02-14,3926.4,3958.6,3907.0,3952.4,12424,0
2018-02-22,4011.4,4033.0,3983.0,4025.4,16230,0
2018-02-23,4039.8,4059.6,4021.4,4049.6,15936,0
2018-02-26,4081.6,4125.2,4040.2,4108.2,19275,0
2018-02-27,4117.4,4118.0,4041.2,4042.0,17875,0
2018-02-28,4019.0,4048.6,3982.0,4002.0,19969,0
2018-03-01,3980.0,4057.2,3973.8,4035.0,19146,0
2018-03-02,4004.4,4032.4,3996.4,4010.0,17187,0
2018-03-05,4026.0,4043.4,3970.0,3992.0,17725,0
2018-03-06,4027.6,4064.6,3980.0,4064.0,19680,0
2018-03-07,4054.0,4083.6,4000.0,4009.4,19296,0
2018-03-08,4030.2,4069.6,4018.0,4065.2,18400,0
2018-03-09,4078.2,4109.2,4063.0,4103.6,17675,0
2018-03-12,4134.0,4144.0,4113.0,4119.4,17136,0
2018-03-13,4122.0,4126.6,4075.0,4075.2,17078,0
2018-03-14,4069.4,4084.8,4060.2,4065.0,14740,0
2018-03-15,4050.6,4100.0,4050.6,4097.6,12206,0
2018-03-16,4090.2,4108.0,4080.4,4082.0,7054,0
2018-03-19,4030.0,4058.8,4005.2,4049.2,15648,0
2018-03-20,4030.0,4065.2,4013.0,4049.6,15959,0
