datetime,open,high,low,close,volume,open_interest
2009-01-05,191.03,192.01,188.3,190.25,43542,49846
2009-01-06,185.5,186.88,184.32,184.61,35598,51110
2009-01-07,187.01,188.15,186.22,187.63,33054,50984
2009-01-08,184.7,185.09,183.98,184.79,26624,48754
2009-01-09,185.88,186.97,185.53,186.94,17112,47708
2009-01-12,185.7,186.98,185.24,185.82,19966,46808
2009-01-13,180.38,181.05,179.02,179.2,25170,46312
2009-01-14,179.9,180.99,179.53,180.9,20908,44936
2009-01-15,178.02,178.28,176.0,177.48,26104,43400
2009-01-16,178.5,180.73,178.5,180.41,22210,42660
2009-01-19,183.38,184.56,183.11,184.12,19250,40566
2009-01-20,181.71,182.2,180.9,181.65,13612,38824
2009-01-21,185.88,187.0,185.7,186.43,13450,35882
2009-01-22,187.0,187.38,186.0,186.61,8930,34184
2009-01-23,186.59,188.59,186.0,187.51,7610,33286
2009-02-02,200.16,200.16,198.38,198.46,19710,34084
2009-02-03,197.58,198.5,197.0,197.31,16838,36378
2009-02-04,197.0,197.55,196.52,196.85,12532,36674
2009-02-05,197.6,198.85,197.38,198.75,17244,38026
2009-02-06,199.24,200.55,199.22,200.31,17328,37032
2009-02-09,198.75,198.98,197.5,198.33,18230,37222
2009-02-10,196.78,197.25,195.65,195.99,17672,37102
2009-02-11,200.0,200.58,199.35,199.58,18014,37870
2009-02-12,205.0,205.78,204.65,205.54,21010,40628
2009-02-13,205.21,206.12,205.21,206.08,13728,42452
2009-02-16,205.38,205.68,204.8,205.52,13036,42244
2009-02-17,206.5,215.0,206.5,210.83,34462,48366
2009-02-18,212.1,213.96,211.8,213.59,24246,48890
2009-02-19,215.66,215.9,213.69,214.01,23434,48564
2009-02-20,213.46,214.45,212.92,214.4,17504,48628
2009-02-23,217.8,217.84,216.0,216.5,23514,49798
2009-02-24,216.21,217.39,215.74,216.8,19052,49382
2009-02-25,211.49,211.94,209.41,209.63,27128,45318
2009-02-26,209.0,209.29,206.8,208.23,30488,40370
2009-02-27,206.9,207.44,205.88,206.48,24676,40902
2009-03-02,208.68,209.5,208.03,209.31,21986,41308
2009-03-03,204.18,204.8,203.5,203.96,26320,38510
2009-03-04,201.52,201.59,200.63,201.48,21848,38556
2009-03-05,201.09,202.5,200.72,202.5,35920,45714
2009-03-06,205.6,207.78,205.0,207.73,32018,42372
2009-03-09,207.12,207.35,205.81,206.06,23438,39244
2009-03-10,202.49,202.7,201.5,201.58,23930,38318
2009-03-11,197.0,198.6,196.53,198.49,24044,37652
2009-03-12,200.65,202.15,200.21,201.79,22650,36948
2009-03-13,203.13,203.63,202.71,202.75,20588,35880
2009-03-16,203.49,204.28,203.43,203.63,14654,35126
2009-03-17,203.37,203.66,201.6,202.01,19608,35724
2009-03-18,201.26,201.5,199.8,200.57,20440,34080
2009-03-19,204.6,205.68,203.2,205.28,32622,33450
2009-03-20,209.02,211.12,208.66,210.41,25186,33790
2009-03-23,209.63,212.12,209.0,211.43,34262,40872
2009-03-24,208.0,208.47,206.81,206.96,25720,36424
2009-03-25,204.59,205.4,203.9,204.4,22924,35712
2009-03-26,205.51,206.55,205.26,206.35,16480,34116
2009-03-27,205.36,206.29,204.91,205.62,17110,33268
2009-03-30,204.24,204.24,202.32,204.15,19058,32492
2009-03-31,201.31,202.8,201.31,202.49,14658,31200
2009-04-01,202.81,203.15,202.0,202.13,14716,30578
2009-04-02,203.68,204.55,202.7,202.85,14920,29938
2009-04-03,198.96,199.29,198.51,198.94,18048,29252
2009-04-07,192.65,193.66,192.31,193.4,20974,26624
2009-04-08,193.98,195.8,193.68,195.53,18932,25426
2009-04-09,194.16,194.75,193.5,193.76,12082,24544
2009-04-10,193.68,194.65,193.5,194.59,7054,23034
2009-04-13,194.99,195.8,194.6,195.78,9956,21870
2009-04-14,196.8,198.4,196.75,197.95,11630,19160
2009-04-15,196.6,197.2,196.51,196.6,6342,16524
2009-04-16,196.28,197.01,195.12,196.87,10318,17124
2009-04-17,193.38,193.38,192.08,192.41,15186,19878
2009-04-20,190.23,192.99,190.23,191.3,13318,21248
2009-04-21,195.58,197.0,195.2,196.63,23634,22166
2009-04-22,195.0,195.45,194.62,195.31,13610,21104
2009-04-23,197.27,197.5,196.08,196.7,14346,20700
2009-04-24,199.31,201.27,199.1,201.15,21460,25128
2009-04-27,201.91,201.96,201.0,201.43,17540,25304
2009-04-28,197.88,198.36,197.2,197.41,17454,23466
2009-04-29,196.0,197.81,195.87,197.2,14780,23964
2009-04-30,196.83,198.2,196.79,198.18,13456,25160
2009-05-01,197.59,197.59,197.16,197.21,10,176
2009-05-04,196.0,197.6,195.41,197.31,21404,29328
2009-05-05,199.29,200.13,198.91,199.22,21654,32020
2009-05-06,198.06,199.28,197.88,198.99,16660,31702
2009-05-07,200.81,201.48,200.51,201.33,25708,35276
2009-05-08,201.33,202.1,201.08,201.75,20618,35446
2009-05-11,201.7,202.18,201.03,201.83,21098,35688
2009-05-12,201.29,201.29,200.48,200.73,16980,35224
2009-05-13,203.74,204.09,203.62,203.96,21262,41832
2009-05-14,203.22,203.65,202.72,202.72,14108,41056
2009-05-15,203.4,203.58,203.06,203.23,9952,41200
2009-05-18,203.84,204.66,203.84,204.53,15046,40862
2009-05-19,202.0,202.52,202.0,202.44,18764,38358
2009-05-20,203.32,203.78,203.11,203.73,9508,37500
2009-05-21,206.0,207.11,205.91,206.85,17934,41742
2009-05-22,209.1,209.2,208.07,208.38,19752,41192
2009-05-25,209.3,209.5,208.5,208.8,15162,44822
2009-05-26,209.03,209.08,208.01,208.02,11978,45500
2009-05-27,207.88,208.2,207.2,207.98,12912,44250
2009-06-01,214.15,215.37,213.8,215.02,21484,48166
2009-06-02,213.5,214.35,212.02,212.15,22006,49366
2009-06-03,215.15,216.21,214.68,216.18,27090,52892
2009-06-04,211.9,212.21,211.35,211.96,22964,49620
2009-06-05,214.0,214.4,213.73,214.32,18306,51116
