date,open,close,high,low,volume
2019-06-12,0.25,0.25,0.26,0.25,1346322.0
2019-06-13,0.25,0.25,0.25,0.25,150306.0
2019-06-14,0.25,0.24,0.25,0.24,76983.0
2019-06-17,0.24,0.24,0.24,0.24,50678.0
2019-06-18,0.24,0.24,0.24,0.24,40390.0
2019-06-19,0.24,0.24,0.25,0.24,135976.0
2019-06-20,0.25,0.25,0.25,0.24,53549.0
2019-06-21,0.25,0.25,0.26,0.25,196584.0
2019-06-24,0.25,0.25,0.25,0.25,68144.0
2019-06-25,0.25,0.25,0.25,0.25,56951.0
2019-06-26,0.24,0.25,0.25,0.24,51130.0
2019-06-27,0.25,0.26,0.26,0.25,202872.0
2019-06-28,0.26,0.25,0.26,0.25,64054.0
2019-07-01,0.26,0.26,0.26,0.26,215778.0
2019-07-02,0.26,0.26,0.26,0.26,67788.0
2019-07-03,0.26,0.25,0.26,0.25,59828.0
2019-07-04,0.25,0.25,0.26,0.25,63095.0
2019-07-05,0.25,0.25,0.25,0.25,49379.0
2019-07-08,0.25,0.24,0.25,0.24,122066.0
2019-07-09,0.24,0.24,0.24,0.24,38274.0
2019-07-10,0.24,0.25,0.25,0.24,68088.0
2019-07-11,0.25,0.24,0.25,0.24,61742.0
2019-07-12,0.24,0.24,0.24,0.24,47788.0
2019-07-15,0.24,0.25,0.25,0.24,121561.0
2019-07-16,0.25,0.25,0.25,0.25,88666.0
2019-07-17,0.25,0.26,0.26,0.25,205328.0
2019-07-18,0.25,0.25,0.25,0.25,72371.0
2019-07-19,0.25,0.25,0.25,0.25,68814.0
2019-07-22,0.26,0.25,0.26,0.24,143857.0
2019-07-23,0.25,0.25,0.25,0.25,150793.0
2019-07-24,0.25,0.26,0.26,0.25,303475.0
2019-07-25,0.26,0.26,0.27,0.26,309286.0
2019-07-26,0.26,0.26,0.27,0.26,98576.0
2019-07-29,0.26,0.27,0.27,0.26,110542.0
2019-07-30,0.27,0.26,0.27,0.26,132826.0
2019-07-31,0.26,0.27,0.27,0.26,101637.0
2019-08-01,0.26,0.26,0.27,0.26,110053.0
2019-08-02,0.26,0.26,0.26,0.26,96995.0
2019-08-05,0.26,0.26,0.26,0.26,109212.0
2019-08-06,0.26,0.25,0.26,0.24,242626.0
2019-08-07,0.25,0.24,0.25,0.24,117831.0
2019-08-08,0.25,0.25,0.25,0.25,172288.0
2019-08-09,0.25,0.25,0.25,0.25,130852.0
2019-08-12,0.25,0.26,0.26,0.25,166268.0
2019-08-13,0.25,0.26,0.26,0.25,82690.0
2019-08-14,0.26,0.26,0.26,0.26,127501.0
2019-08-15,0.25,0.26,0.26,0.25,230619.0
2019-08-16,0.26,0.26,0.27,0.26,161920.0
2019-08-19,0.27,0.27,0.28,0.26,159552.0
2019-08-20,0.27,0.27,0.28,0.27,180217.0
2019-08-21,0.27,0.28,0.28,0.27,153349.0
2019-08-22,0.28,0.28,0.28,0.27,259673.0
2019-08-23,0.27,0.27,0.28,0.27,122460.0
2019-08-26,0.27,0.27,0.27,0.27,61022.0
2019-08-27,0.27,0.28,0.28,0.27,112679.0
2019-08-28,0.28,0.28,0.28,0.28,41125.0
2019-08-29,0.28,0.28,0.28,0.28,68954.0
2019-08-30,0.28,0.28,0.29,0.28,125995.0
2019-09-02,0.28,0.29,0.3,0.28,104927.0
2019-09-03,0.29,0.3,0.31,0.29,336104.0
2019-09-04,0.3,0.31,0.33,0.3,365344.0
2019-09-05,0.32,0.31,0.32,0.31,226321.0
2019-09-06,0.31,0.31,0.31,0.3,210595.0
2019-09-09,0.31,0.33,0.33,0.31,420360.0
2019-09-10,0.33,0.32,0.33,0.31,462260.0
2019-09-11,0.32,0.32,0.32,0.31,275447.0
2019-09-12,0.32,0.32,0.32,0.32,167500.0
2019-09-16,0.32,0.32,0.33,0.32,271148.0
2019-09-17,0.32,0.31,0.32,0.31,340893.0
2019-09-18,0.31,0.31,0.31,0.31,179738.0
2019-09-19,0.31,0.32,0.32,0.31,232853.0
2019-09-20,0.32,0.33,0.33,0.32,331192.0
2019-09-23,0.33,0.34,0.34,0.32,474228.0
2019-09-24,0.34,0.34,0.34,0.34,439594.0
2019-09-25,0.34,0.32,0.34,0.32,614926.0
2019-09-26,0.32,0.3,0.32,0.3,539673.0
2019-09-27,0.31,0.31,0.31,0.3,330468.0
2019-09-30,0.31,0.3,0.31,0.3,350319.0
2019-10-08,0.3,0.3,0.31,0.29,282693.0
2019-10-09,0.29,0.3,0.3,0.29,252683.0
2019-10-10,0.3,0.3,0.31,0.3,322264.0
2019-10-11,0.3,0.3,0.31,0.3,205374.0
2019-10-14,0.3,0.31,0.31,0.3,340505.0
2019-10-15,0.31,0.3,0.31,0.3,371758.0
2019-10-16,0.3,0.29,0.3,0.29,265009.0
2019-10-17,0.3,0.29,0.3,0.29,195073.0
2019-10-18,0.29,0.29,0.3,0.29,261921.0
2019-10-21,0.29,0.29,0.29,0.28,239253.0
2019-10-22,0.29,0.29,0.29,0.29,279673.0
2019-10-23,0.29,0.29,0.3,0.29,209803.0
2019-10-24,0.29,0.29,0.29,0.29,157984.0
2019-10-25,0.29,0.29,0.29,0.29,195134.0
2019-10-28,0.3,0.3,0.3,0.3,355077.0
2019-10-29,0.3,0.3,0.3,0.3,169487.0
2019-10-30,0.3,0.3,0.31,0.29,370291.0
2019-10-31,0.3,0.3,0.31,0.3,235310.0
2019-11-01,0.3,0.3,0.31,0.3,180568.0
